name,contact_person,phone,address,gst_number
Birla,,,,
Ultra - Birla,,,,
Radha Jindal,,,,
Radha,,,,
Sugna,,,,
Devashree,,,,
Keshree,,,,
Rajaram,,,,
Mahavir,,,,
Navdurga Jindal,,,,
Ultra,,,,
Rohit Steels,,,,
Sri Balaji Traders,,,,
